batter,total_runs,batting_avg,strike_rate,innings,dismissals,balls_faced,most_active_year
V Kohli,8899,39.90582959641256,133.4783260836958,266,223.0,6667,2016
RG Sharma,7185,29.813278008298756,132.56457564575646,271,241.0,5420,2013
S Dhawan,6769,35.07253886010363,127.09350356740518,222,193.0,5326,2021
DA Warner,6567,40.042682926829265,139.6639727775415,187,164.0,4702,2016
SK Raina,5536,32.37426900584796,136.82649530400394,201,171.0,4046,2010
MS Dhoni,5439,38.30281690140845,137.45261561789235,241,142.0,3957,2018
KL Rahul,5346,44.924369747899156,136.58661216147163,142,119.0,3914,2020
AM Rahane,5184,30.674556213017752,125.6118245699055,188,169.0,4127,2013
AB de Villiers,5181,39.853846153846156,151.8909410729991,172,130.0,3411,2016
CH Gayle,4997,39.65873015873016,149.34249850567844,145,126.0,3346,2013
RV Uthappa,4954,27.522222222222222,130.33412259931595,198,180.0,3801,2014
SV Samson,4889,31.14012738853503,140.0859598853868,176,157.0,3490,2021
KD Karthik,4843,26.320652173913043,135.27932960893853,235,184.0,3580,2013
F du Plessis,4773,35.095588235294116,135.78947368421052,147,136.0,3515,2023
SA Yadav,4417,34.24031007751938,148.67048131942107,157,129.0,2971,2025
AT Rayudu,4348,28.051612903225806,127.54473452625403,185,155.0,3409,2018
JC Buttler,4297,39.78703703703704,149.66910484151862,124,108.0,2871,2022
G Gambhir,4217,31.00735294117647,123.88366627497062,151,136.0,3404,2012
Shubman Gill,4031,39.91089108910891,139.04794756812694,117,101.0,2899,2023
MK Pandey,3951,29.266666666666666,121.64408866995073,163,135.0,3248,2014
SS Iyer,3938,34.849557522123895,135.41953232462174,136,113.0,2908,2020
SR Watson,3880,30.793650793650794,137.93103448275863,143,126.0,2813,2013
RR Pant,3670,33.98148148148148,146.68265387689848,131,108.0,2502,2018
KA Pollard,3437,28.40495867768595,147.57406612279948,172,121.0,2329,2017
Q de Kock,3424,31.412844036697248,135.22906793048972,117,109.0,2532,2019
RA Jadeja,3336,28.271186440677965,130.0077942322681,197,118.0,2566,2009
YK Pathan,3222,29.29090909090909,143.51893095768372,154,110.0,2245,2016
Ishan Kishan,3211,29.73148148148148,140.2183406113537,117,108.0,2290,2020
DA Miller,3156,35.86363636363637,138.84733831940167,137,88.0,2273,2022
WP Saha,2934,24.24793388429752,127.56521739130436,143,121.0,2300,2023
BB McCullum,2882,27.71153846153846,131.59817351598173,111,104.0,2190,2014
N Rana,2873,27.10377358490566,136.03219696969697,115,106.0,2112,2021
PA Patel,2848,22.603174603174605,120.78032230703985,136,126.0,2358,2008
HH Pandya,2839,28.10891089108911,147.32745199792424,147,101.0,1927,2022
GJ Maxwell,2820,23.89830508474576,155.1155115511551,135,118.0,1818,2021
MA Agarwal,2764,23.033333333333335,133.78509196515006,126,120.0,2066,2021
Yuvraj Singh,2754,24.81081081081081,129.78322337417532,127,111.0,2122,2009
V Sehwag,2728,27.555555555555557,155.44159544159544,104,99.0,1755,2014
AD Russell,2655,27.94736842105263,174.0983606557377,115,95.0,1525,2019
M Vijay,2619,25.93069306930693,121.87063750581666,105,101.0,2149,2016
RD Gaikwad,2565,38.28358208955224,136.43617021276594,75,67.0,1880,2021
